battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
10,False,Seara,Molly,Fran,Han,Okeanos,None,Okeanos,Seara,Okeanos,Ragdoll,Vigor,Daphnis,Laika,Giana,Giana,None,Laika,Giana,2021-01-09 01:02:50,Ex|Shizzy,B哥没有矿了
11,True,Giana,Fran,Savannah,Han,Seara,Giana,None,Fran,Seara,Cheongpung,Molly,Jager,Pater,Ragdoll,None,Pater,Jager,Ragdoll,2021-01-09 00:56:27,Ex|Shizzy,杰咪爸
12,True,Seara,Giana,Fran,Han,Leo,None,Leo,Seara,Leo,Vanessa,Yeonhong,Savannah,Ganymede,Okeanos,Okeanos,None,Vanessa,Okeanos,2021-01-10 07:37:37,Ex|Shizzy,Raii!
13,True,Okeanos,Fran,Giana,Vigor,Seara,Okeanos,None,Okeanos,Seara,Artamiel,Juno,XingZhe,Tetra,Molly,None,Tetra,XingZhe,Molly,2021-01-10 07:32:57,Ex|Shizzy,DARK-STAR
14,True,Okeanos,Giana,Han,Vigor,Savannah,None,Vigor,Han,Savannah,Barbara,Juno,Verdehile,Anavel,Seara,Seara,None,Anavel,Seara,2021-01-10 03:51:30,Ex|Shizzy,G2urker
15,True,Okeanos,Giana,Savannah,Ganymede,Han,None,Ganymede,Ganymede,Han,Juno,Tetra,MeiHouWang,Jeanne,Seara,Seara,None,Jeanne,Seara,2021-01-10 03:38:09,Ex|Shizzy,dragalion
16,True,Fran,Giana,Savannah,Han,Seara,Seara,None,Fran,Seara,Vanessa,Pater,Josephine,Juno,Molly,None,Molly,Vanessa,Molly,2021-01-10 03:23:18,Ex|Shizzy,イヤキチばばあ
17,True,Giana,Okeanos,Savannah,Han,Seara,Giana,None,Okeanos,Seara,Moore/WaterRYU1,Fran,Tetra,Juno,Miho,None,Miho,Moore/WaterRYU1,Miho,2021-01-10 03:18:41,Ex|Shizzy,N€ome$z!
18,True,Seara,Giana,Ganymede,Han,Okeanos,Okeanos,None,Seara,Okeanos,MoLong,Harmonia,Verdehile,Juno,Pater,None,Juno,MoLong,Pater,2021-01-10 03:15:01,Ex|Shizzy,Zejula
19,True,Okeanos,Giana,Savannah,Moore/WaterRYU1,Han,Okeanos,None,Moore/WaterRYU1,Han,Seara,Barbara,Chiwu,Eshir,Hathor,None,Eshir,Chiwu,Hathor,2021-01-10 03:12:36,Ex|Shizzy,Fenrir♂
20,False,Okeanos,Vanessa,Giana,Moore/WaterRYU1,Savannah,Okeanos,None,Vanessa,Savannah,Seara,Barbara,Chiwu,Molly,Hathor,None,Molly,Chiwu,Hathor,2021-01-10 03:10:44,Ex|Shizzy,Fenrir♂
21,True,Seara,Giana,Han,Savannah,Molly,None,Savannah,Seara,Molly,Vigor,Ganymede,Josephine,Praha,Okeanos,Vigor,None,Praha,Okeanos,2021-01-10 02:55:08,Ex|Shizzy,~luckyme~
22,True,Okeanos,Giana,Fran,Ganymede,Han,None,Han,Ganymede,Han,Seara,Moore/WaterRYU,Verdehile,Velajuel,Juno,Seara,None,Moore/WaterRYU,Juno,2021-01-10 02:51:18,Ex|Shizzy,出门便是江湖
23,True,Giana,Savannah,Vanessa,Han,Rica,None,Rica,Vanessa,Rica,Moore/WaterRYU1,Cheongpung,Leo,Diana,Okeanos,Okeanos,None,Leo,Okeanos,2021-01-10 02:48:22,Ex|Shizzy,ʚしるばɞ
24,True,Seara,Moore/WaterRYU1,Han,Ganymede,Giana,None,Ganymede,Seara,Giana,Okeanos,Cheongpung,Savannah,Barbara,Chiwu,Okeanos,None,Okeanos,Chiwu,2021-01-10 02:43:35,Ex|Shizzy,ʚしるばɞ
25,True,Seara,Fran,Han,Savannah,Moore/WaterRYU1,None,Savannah,Seara,Moore/WaterRYU1,SonZhangLao,Juno,Ethna,Lagmaron,Okeanos,Okeanos,None,SonZhangLao,Okeanos,2021-01-10 02:40:57,Ex|Shizzy,ELDEAU
26,True,Okeanos,Fran,Giana,Savannah,Han,None,Savannah,Fran,Han,Seara,Chiwu,Josephine,Juno,Ganymede,Seara,None,Seara,Ganymede,2021-01-10 02:37:00,Ex|Shizzy,Drogknar
